tconst	averageRating	numVotes
tt0190034	4.2	15
tt0190037	6.8	18
tt0190038	5.5	199
tt0190045	6.1	86
tt0190048	6.3	8
tt0190052	4.3	141
tt0190053	5.4	70
tt0190054	5.9	9
tt0190055	6	10
tt0190057	4	8
tt0190058	7.6	15
tt0190060	5.2	529
tt0190062	6.6	40
tt0190063	7.7	171
tt0190064	6.7	33
tt0190065	5.7	32
tt0190066	4.4	85
tt0190069	7.1	21
tt0190072	2.8	12
tt0190074	7.8	523
tt0190075	6.7	145
tt0190076	7.5	1715
tt0190077	7.4	41
tt0190078	3.5	11
tt0190079	6.4	74
tt0190081	5.5	27
tt0190082	5.9	20
tt0190085	4.6	104
tt0190086	5.8	16
tt0190088	7.8	202
tt0190089	5.8	21
tt0190090	4.1	17
tt0190091	4.7	13
tt0190093	5.4	9
tt0190096	5.9	289
tt0190098	5	9
tt0190101	5.5	38
tt0190102	6.2	38
tt0190104	5.9	102
tt0190106	6.4	1406
tt0190107	4.6	192
tt0190110	8.1	70
tt0190114	4.7	95
