tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0189889	movie	"Paraíba, Vida e Morte de um Bandido"	"Paraíba, Vida e Morte de um Bandido"	0	1966	\N	84	"Crime,Drama"
tt0189890	short	Paris	Paris	0	1951	\N	\N	"Documentary,Short"
tt0189891	video	Paris Burnning	Paris Burnning	1	1989	\N	\N	Adult
tt0189892	movie	Paris Models	Paris Models	1	1987	\N	\N	Adult
tt0189893	short	An Adventurous Automobile Trip	Le Raid Paris-Monte Carlo en deux heures	0	1905	\N	10	"Adventure,Short"
tt0189894	movie	Parted Lips	Parted Lips	1	1986	\N	87	Adult
tt0189895	video	Parting Shots	Parting Shots	1	1989	\N	85	"Adult,Romance"
tt0189896	movie	Partners in Crime	Partners in Crime	1	1988	\N	71	Adult
tt0189897	movie	Party Doll	Party Doll	1	1991	\N	\N	Adult
tt0189898	movie	Party in the Rear	Party in the Rear	1	1989	\N	\N	Adult
tt0189899	movie	A Passage thru Pamela	A Passage thru Pamela	1	1985	\N	80	"Adult,Comedy,Drama"
tt0189900	movie	The Passion Within	The Passion Within	1	1987	\N	\N	Adult
tt0189901	movie	Passion by Fire	Passion by Fire	1	1986	\N	\N	Adult
tt0189902	movie	Passionate Lips	Passionate Lips	1	1990	\N	63	Adult
tt0189904	movie	Pátria e Bandeira	Pátria e Bandeira	0	1918	\N	\N	War
tt0189905	movie	Paul Cadmus: Enfant Terrible at 80	Paul Cadmus: Enfant Terrible at 80	0	1984	\N	64	"Biography,Documentary"
tt0189906	movie	The Pearl Divers	The Pearl Divers	1	1988	\N	\N	Adult
tt0189907	short	Peasant Island	Peasant Island	0	1940	\N	\N	"Documentary,Short"
tt0189908	movie	Peeping Tom	Peeping Tom	1	1986	\N	86	"Adult,Comedy"
tt0189909	movie	The Perfect Brat	The Perfect Brat	1	1989	\N	\N	Adult
tt0189910	video	Perfect Partners	Perfect Partners	1	1985	\N	75	Adult
tt0189911	movie	The Perfect Weekend	The Perfect Weekend	1	1984	\N	\N	Adult
tt0189912	video	Performance	Performance	1	1990	\N	78	Adult
tt0189913	video	The Performers	The Performers	1	1986	\N	80	Adult
tt0189914	movie	Personals	Personals	1	1972	\N	90	"Adult,Documentary"
tt0189915	movie	Petronella - Das Geheimnis der Berge	Petronella - Das Geheimnis der Berge	0	1927	\N	\N	Drama
tt0189916	movie	Maybe	Peut-être	0	1999	\N	109	"Comedy,Drama,Sci-Fi"
tt0189917	movie	The Priest from Kirchfeld	Der Pfarrer von Kirchfeld	0	1926	\N	\N	\N
tt0189918	movie	Phantom X	Phantom X	1	1989	\N	\N	Adult
tt0189919	movie	The Phantom of the Cabaret II	The Phantom of the Cabaret II	1	1989	\N	\N	"Adult,Drama,Romance"
tt0189920	movie	The Phantom of the Cabaret	The Phantom of the Cabaret	1	1989	\N	81	Adult
tt0189921	tvMovie	Philippe Soupault	Philippe Soupault	0	1982	\N	57	Documentary
tt0189922	video	Phone-Mates	Phone-Mates	1	1988	\N	79	"Adult,Comedy"
tt0189923	video	Phone Sex Girls: Australia	Phone Sex Girls: Australia	1	1989	\N	72	Adult
tt0189924	video	Phone Sex Fantasies: Volume 1	Phone Sex Fantasies: Volume 1	1	1985	\N	\N	Adult
tt0189926	movie	Piger er en plage!	Piger er en plage!	0	1990	\N	\N	\N
tt0189927	short	Pimple's Lady Godiva	Pimple's Lady Godiva	0	1917	\N	\N	"Comedy,Short"
tt0189928	short	Pimple's Pitter-Patter	Pimple's Pitter-Patter	0	1917	\N	\N	"Comedy,Short"
tt0189929	short	Pimple's Romance	Pimple's Romance	0	1917	\N	\N	"Comedy,Short"
tt0189930	short	Pimple's Storyette	Pimple's Storyette	0	1915	\N	\N	"Comedy,Short"
tt0189931	short	Pimple's the Woman Who Did	Pimple's the Woman Who Did	0	1917	\N	\N	"Comedy,Short"
tt0189932	short	Plane Crazy	Plane Crazy	0	1933	\N	20	"Comedy,Musical,Short"
tt0189933	short	Plastic Surgery in Wartime	Plastic Surgery in Wartime	0	1941	\N	\N	"Documentary,Short"
tt0189934	tvEpisode	Ball der einsamen Herzen	Ball der einsamen Herzen	0	1990	\N	80	"Crime,Drama,Mystery"
tt0189935	tvEpisode	Laß mich nicht im Stich	Laß mich nicht im Stich	0	1985	\N	77	"Crime,Drama,Mystery"
tt0189936	tvEpisode	Schellekloppe	Schellekloppe	0	1999	\N	90	"Crime,Drama,Mystery"
tt0189937	movie	Porno Baby	Porno Baby	0	1970	\N	75	Drama
tt0189938	movie	Sex Files: Portrait of the Soul	Sex Files: Portrait of the Soul	0	1998	\N	91	"Horror,Mystery"
tt0189939	tvMovie	Poseta stare dame	Poseta stare dame	0	1976	\N	88	Drama
tt0189940	movie	Ktor me yerkinq	Ktor me yerkinq	0	1980	\N	92	"Comedy,Drama,Romance"
tt0189941	movie	Pousse Cafe	Pousse Cafe	0	1997	\N	105	"Comedy,Drama"
tt0189942	movie	Povest o 'Neistovom'	Povest o 'Neistovom'	0	1947	\N	86	"Drama,War"
tt0189943	short	Povoljan vetar	Povoljan vetar	0	1979	\N	3	Short
tt0189944	movie	Poyezd do Bruklina	Poyezd do Bruklina	0	1998	\N	91	Action
tt0189945	movie	Prairie Station	Paren iz taygi	0	1941	\N	82	\N
tt0189946	movie	Pravo ottsov	Pravo ottsov	0	1931	\N	\N	Drama
tt0189948	movie	"La prima notte del Dottor Danieli, industriale, col complesso del... giocattolo"	"La prima notte del Dottor Danieli, industriale, col complesso del... giocattolo"	0	1970	\N	93	Comedy
tt0189949	movie	"Santa Gertrudis, la première question sur le bonheur"	"Santa Gertrudis, la première question sur le bonheur"	0	1978	\N	101	Documentary
tt0189950	movie	O Prisioneiro do Sexo	O Prisioneiro do Sexo	0	1978	\N	92	Drama
tt0189951	movie	Los problemas de papá	Los problemas de papá	0	1954	\N	75	"Comedy,Drama"
tt0189952	movie	Forbidden to Step on Clouds	Prohibido pisar las nubes	0	1970	\N	83	\N
tt0189953	movie	Puzzles of Blue	Puzzles of Blue	0	1997	\N	\N	\N
tt0189954	movie	Ordinary Heroes	Qian yan wan yu	0	1999	\N	128	Drama
tt0189955	short	Queen Cotton	Queen Cotton	0	1941	\N	14	"Documentary,Short"
tt0189956	movie	¡Qué hermanita!	¡Qué hermanita!	0	1951	\N	\N	\N
tt0189957	movie	Raffles	Raffles	1	1992	\N	80	Adult
tt0189958	short	Sink	O Ralo	0	1999	\N	16	"Comedy,Short"
tt0189959	movie	The Raw Ones	The Raw Ones	0	1965	\N	75	Documentary
tt0189960	movie	The Heart's Root	A Raiz do Coração	0	2000	\N	118	Drama
tt0189961	short	Reklamacija	Reklamacija	0	1979	\N	3	Short
tt0189962	movie	Renee Rosnes: Jazz Pianist	Renee Rosnes: Jazz Pianist	0	1997	\N	45	"Documentary,Music"
tt0189963	tvMovie	Der Mörder meiner Mutter	Der Mörder meiner Mutter	0	1999	\N	93	Thriller
tt0189964	movie	Revelação	Revelação	0	1929	\N	\N	Drama
tt0189965	movie	Riffraff	Riffraff	0	2005	\N	127	\N
tt0189966	video	Risque Burlesque II	Risque Burlesque II	1	1996	\N	107	"Adult,Comedy"
tt0189967	movie	Knights of the Night	Ritter der Nacht	0	1928	\N	\N	\N
tt0189968	video	Rockey X	Rockey X	1	1986	\N	83	"Adult,Drama,Sport"
tt0189969	video	The Rocky Porno Video Show	The Rocky Porno Video Show	1	1986	\N	89	"Adult,Comedy,Sci-Fi"
tt0189970	movie	Der rosa Diamant	Der rosa Diamant	0	1926	\N	\N	Comedy
tt0189971	movie	Le rouge de Chine	Le rouge de Chine	0	1979	\N	80	Fantasy
tt0189973	movie	Lupin the 3rd: Crisis in Tokyo	Rupan sansei: Honô no kioku Tokyo Crisis	0	1998	\N	95	"Action,Animation,Comedy"
tt0189974	tvMovie	Lupin III: Island of Assassins	Rupan sansei: Walther P38	0	1997	\N	93	"Action,Adventure,Animation"
tt0189975	movie	S.T.A.B.	S.T.A.B.	0	1973	\N	100	"Action,Adventure"
tt0189976	movie	La salación	La salación	0	1965	\N	77	Comedy
tt0189977	movie	Sammyville	Sammyville	0	1999	\N	94	Drama
tt0189978	movie	The Wild Growth	Samorastniki	0	1963	\N	90	Drama
tt0189979	movie	"San Andrés, isla de ensueño"	"San Andrés, isla de ensueño"	0	1962	\N	90	\N
tt0189980	video	Saturday Night Beaver II	Saturday Night Beaver II	1	1993	\N	\N	Adult
tt0189981	movie	Scarfies	Scarfies	0	1999	\N	94	"Action,Comedy,Thriller"
tt0189982	short	Schritte des anderen	Schritte des anderen	0	1987	\N	25	Short
tt0189983	tvMovie	Der Schwierige	Der Schwierige	0	1991	\N	\N	\N
tt0189984	movie	The Scottish Covenanters	The Scottish Covenanters	0	1909	\N	55	"Drama,History"
tt0189985	short	Scottish Mazurka	Scottish Mazurka	0	1943	\N	17	"Documentary,Music,Short"
tt0189986	tvMovie	Seascape	Seascape	0	1994	\N	\N	\N
tt0189987	movie	Backstage Pass	Secrets of Stage Five	1	1983	\N	60	Adult
tt0189988	movie	Secrets of the Nazi Criminals	Krigsförbrytare	0	1962	\N	57	"Documentary,War"
tt0189989	movie	Sensi caldi	Sensi caldi	0	1980	\N	80	"Comedy,Drama"
tt0189990	movie	Sensual Escape	Sensual Escape	1	1988	\N	80	"Adult,Fantasy,Romance"
tt0189991	short	Sensuous Singles: Sandi Taylor	Sensuous Singles: Sandi Taylor	1	1987	\N	30	"Adult,Short"
tt0189992	movie	"Service, Israel"	"Service, Israel"	0	1982	\N	\N	Documentary
tt0189993	movie	Severnaya povest	Severnaya povest	0	1960	\N	77	"Biography,Drama,History"
tt0189994	video	Sex Academy	Sex Academy	1	1993	\N	108	Adult
tt0189995	video	Sexbusters!	Sexbusters!	1	1984	\N	80	"Adult,Comedy"
tt0189996	movie	Shacking Up	Shacking Up	1	1985	\N	79	Adult
tt0189997	movie	Shadow Game	Shadow Game	0	2001	\N	\N	\N
tt0189998	movie	Shadow of the Vampire	Shadow of the Vampire	0	2000	\N	92	"Drama,Horror"
tt0189999	movie	Sharing the Secret	Sharing the Secret	0	1981	\N	\N	Documentary
tt0190001	movie	Come on Girls!	Shibugakitai: Boys and Girls	0	1982	\N	78	\N
tt0190002	movie	"Si bleu, si calme"	"Si bleu, si calme"	0	1996	\N	80	Documentary
tt0190003	movie	Die Silbermöve	Die Silbermöve	0	1922	\N	\N	\N
tt0190004	movie	Silk Satin Sex	Silk Satin Sex	1	1983	\N	81	Adult
tt0190005	short	Since '45	Since '45	0	1979	\N	29	"Documentary,Short"
tt0190006	movie	Amazon Symphony	Sinfonia Amazônica	0	1951	\N	75	"Animation,Family"
tt0190007	short	Sister Susie's Sewing Shirts for Soldiers	Sister Susie's Sewing Shirts for Soldiers	0	1917	\N	\N	"Comedy,Short"
tt0190008	movie	Sixteen Tongues	Sixteen Tongues	0	1999	\N	80	"Horror,Sci-Fi"
tt0190009	movie	Sizzling Summer	Sizzling Summer	1	1984	\N	80	Adult
tt0190010	short	Skifascination	Skifascination	0	1966	\N	44	"Documentary,Short"
tt0190011	movie	Skyscraper	Skyscraper	0	1965	\N	\N	\N
tt0190012	movie	Blood Slaves of the Vampire Wolf	Blood Slaves of the Vampire Wolf	0	1996	\N	105	Horror
tt0190013	short	Small Timers	Small Timers	0	1929	\N	\N	"Comedy,Musical,Short"
tt0190014	movie	The Snail	The Snail	0	1918	\N	\N	"Comedy,Drama"
tt0190015	short	Snare	Snare	0	1998	\N	20	"Short,Thriller"
tt0190016	tvMovie	So schnell es geht nach Istanbul	So schnell es geht nach Istanbul	0	1991	\N	43	\N
tt0190017	movie	The Soap Girl	The Soap Girl	0	1918	\N	50	"Comedy,Drama"
tt0190018	movie	Social Ambition	Social Ambition	0	1918	\N	\N	Drama
tt0190019	movie	Soft as Silk Sweet as Honey	Soft as Silk... Sweet as Honey	1	1984	\N	72	Adult
tt0190020	movie	Some Place New	Some Place New	0	1999	\N	87	\N
tt0190021	movie	Sommertage	Sommertage	0	1990	\N	45	\N
tt0190022	movie	A Son of Strife	A Son of Strife	0	1918	\N	\N	Drama
tt0190023	short	Sonny Rollins: Live at Loren	Sonny Rollins: Live at Loren	0	1973	\N	36	"Documentary,Music,Short"
tt0190024	movie	Sorceress II: The Temptress	Sorceress II: The Temptress	0	1997	\N	82	"Fantasy,Horror,Thriller"
tt0190025	movie	For Business	Sorobanzuku	0	1986	\N	109	Comedy
tt0190026	movie	Sounds of Sex	Sounds of Sex	1	1985	\N	82	Adult
tt0190027	movie	Southpaw	Southpaw: The Francis Barrett Story	0	1999	\N	77	"Documentary,Sport"
tt0190028	tvEpisode	Massage	Massage	0	1995	\N	50	"Drama,Fantasy,Horror"
tt0190029	movie	The Sperminator	The Sperminator	1	1985	\N	78	Adult
tt0190031	movie	The Spreading Evil	The Spreading Evil	0	1918	\N	\N	Drama
tt0190032	movie	"What Is with You, Nina?"	"Sta je s tobom, Nina"	0	1984	\N	99	Drama
tt0190033	movie	Staking His Life	Staking His Life	0	1918	\N	50	"Drama,Western"
tt0190034	movie	Stand By	Stand By	0	1991	\N	85	Drama
tt0190035	short	Stand by Your Booth	Stand by Your Booth	0	1998	\N	24	Short
tt0190036	video	Star Cuts 59: Karen Summers	Star Cuts 59: Karen Summers	1	1987	\N	30	"Adult,Short"
tt0190037	short	A Star Is Shorn	A Star Is Shorn	0	1939	\N	19	"Comedy,Short"
tt0190038	movie	The Star Prince	The Star Prince	0	1918	\N	54	"Drama,Family,Fantasy"
tt0190040	video	Stephanie's Outrageous	Stephanie's Outrageous	1	1988	\N	71	Adult
tt0190041	movie	Stolen Hours	Stolen Hours	0	1918	\N	50	Drama
tt0190042	tvMovie	Stowaway	Stowaway	0	1985	\N	\N	\N
tt0190043	video	Street Smarts: Sex Ed 5	Street Smarts: Sex Ed 5	1	1997	\N	\N	Adult
tt0190044	movie	The Street of Seven Stars	The Street of Seven Stars	0	1918	\N	\N	Drama
tt0190045	movie	Streetwise	Streetwise	0	1998	\N	115	"Action,Crime,Thriller"
tt0190046	short	Stuffie	Stuffie	0	1940	\N	10	"Comedy,Short"
tt0190047	short	Subitamente no Verão Passado	Subitamente no Verão Passado	0	1999	\N	\N	Short
tt0190048	movie	Suburbio	Suburbio	0	1951	\N	93	Drama
tt0190049	movie	Sumpf und Moral	Sumpf und Moral	0	1925	\N	\N	\N
tt0190050	movie	Super Seka	Super Seka	1	1985	\N	\N	Adult
tt0190051	movie	Surcos en el mar	Surcos en el mar	0	1956	\N	73	Drama
tt0190052	movie	Surrender	Surrender	0	2000	\N	94	"Drama,Fantasy,Romance"
tt0190053	movie	Suspicions	Suspicions	0	1995	\N	83	"Horror,Mystery,Thriller"
tt0190054	movie	El sátiro	El sátiro	0	1970	\N	80	Comedy
tt0190055	movie	Tala med mig systrar	Tala med mig systrar	0	1999	\N	80	Documentary
tt0190056	movie	Tangled Lives	Tangled Lives	0	1918	\N	50	Drama
tt0190057	movie	Tara Maldita	Tara Maldita	0	1982	\N	80	\N
tt0190058	movie	Taste of the Best	Taste of the Best	1	1988	\N	87	Adult
tt0190059	short	Tattoo	Tattoo	0	1977	\N	17	"Documentary,Short"
tt0190060	movie	The Tattoo Connection	E yu tou hei sha xing	0	1978	\N	90	"Action,Crime,Drama"
tt0190061	movie	La telaraña	La telaraña	0	1954	\N	\N	\N
tt0190062	movie	Tem Folga na Direção	Tem Folga na Direção	0	1976	\N	90	Comedy
tt0190063	tvEpisode	10 Million Dollar Sheriff Part 1	10 Million Dollar Sheriff Part 1	0	1981	\N	51	"Action,Comedy"
tt0190064	movie	Ghost Story of Two Travelers at Tenamonya	Tenamonya yurei dochu	0	1967	\N	90	Horror
tt0190065	movie	The Tender Warrior	The Tender Warrior	0	1971	\N	85	Adventure
tt0190066	movie	Terminale	Terminale	0	1998	\N	\N	Drama
tt0190067	short	The Terrible Two Had	The Terrible Two Had	0	1915	\N	\N	"Comedy,Short"
tt0190068	movie	They Call Me Sugar Candie	They Call Me Sugar Candie	1	1989	\N	71	Adult
tt0190069	short	This Is Colour	This Is Colour	0	1942	\N	18	"Documentary,Short"
tt0190070	movie	The Thundercloud	The Thundercloud	0	1919	\N	\N	"Crime,Drama"
tt0190071	movie	The Tidal Wave	The Tidal Wave	0	1918	\N	\N	Drama
tt0190072	movie	A Tight Delight	A Tight Delight	1	1984	\N	68	"Adult,Romance"
tt0190073	movie	Timeless	Timeless	0	2000	\N	\N	\N
tt0190074	movie	To so gadi	To so gadi	0	1977	\N	96	"Comedy,Family"
tt0190075	movie	Deaths in Tokimeki	Tokimeki ni shisu	0	1984	\N	105	"Crime,Drama"
tt0190076	videoGame	Tomb Raider III: Adventures of Lara Croft	Tomb Raider III: Adventures of Lara Croft	0	1998	\N	\N	"Action,Adventure,Fantasy"
tt0190077	short	Tommy's	Tommy's	0	1985	\N	15	Short
tt0190078	video	Tounge Twisters	Tongue Twisters	1	1986	\N	\N	Adult
tt0190079	movie	Touch Me in the Morning	Touch Me in the Morning	1	1982	\N	76	"Adult,Drama"
tt0190080	short	Tracking the Sleeping Death	Tracking the Sleeping Death	0	1938	\N	10	"Mystery,Short"
tt0190081	movie	Trail of the Mounties	Trail of the Mounties	0	1947	\N	45	"Drama,Western"
tt0190082	movie	Le traité du hasard	Le traité du hasard	0	1998	\N	95	"Comedy,Drama"
tt0190083	movie	The Transgressor	The Transgressor	0	1918	\N	80	Drama
tt0190084	movie	Treason	Treason	0	1918	\N	\N	Drama
tt0190085	tvMovie	Treasure	Treasure	0	1997	\N	85	Adventure
tt0190086	video	Treasure Box	Treasure Box	1	1985	\N	\N	Adult
tt0190087	video	Treasure Box II	Treasure Box II	1	1993	\N	\N	Adult
tt0190088	tvMovie	The Treaty	The Treaty	0	1991	\N	107	"Drama,History"
tt0190089	movie	As Três Mulheres de Casanova	As Três Mulheres de Casanova	0	1968	\N	85	Comedy
tt0190090	movie	Tres miradas a la calle	Tres miradas a la calle	0	1957	\N	80	\N
tt0190091	short	Tricky Chicks	Tricky Chicks	0	1957	\N	16	"Comedy,Short"
tt0190092	movie	Three Contributions to the Slovenian Madness	Trije prispevki k slovenski blaznosti	0	1983	\N	100	Drama
tt0190093	video	Triplets	Triplets	1	1985	\N	60	Adult
tt0190094	movie	The Triumph of Venus	The Triumph of Venus	0	1918	\N	\N	Fantasy
tt0190095	tvMiniSeries	The Truth About Claire	The Truth About Claire	0	1990	1990	25	"Biography,Documentary,Drama"
tt0190096	tvMovie	Two of Hearts	Two of Hearts	0	1999	\N	95	"Comedy,Romance"
tt0190097	short	Two Saplings	Two Saplings	0	1943	\N	19	"Comedy,Short"
tt0190098	short	Two Seasons	Two Seasons	0	1998	\N	16	"Drama,Short"
tt0190100	movie	Two-Gun Betty	Two-Gun Betty	0	1918	\N	50	"Comedy,Western"
tt0190101	movie	U sredini mojih dana	U sredini mojih dana	0	1988	\N	85	Drama
tt0190102	tvMovie	"Um Passo, Outro Passo e Depois..."	"Um Passo, Outro Passo e Depois..."	0	1991	\N	58	\N
tt0190104	movie	Unbelievable Orgies	Unbelievable Orgies	1	1987	\N	74	Adult
tt0190105	movie	Under Suspicion	Under Suspicion	0	1919	\N	\N	Drama
tt0190106	tvSeries	Undressed	Undressed	0	1999	2002	30	"Comedy,Drama"
tt0190107	tvMovie	Un'australiana a Roma	Un'australiana a Roma	0	1987	\N	98	Comedy
tt0190108	movie	Unexpected Places	Unexpected Places	0	1918	\N	50	"Comedy,Drama"
tt0190110	movie	The Universal Mind of Bill Evans	The Universal Mind of Bill Evans	0	1966	\N	45	"Documentary,Music"
tt0190111	short	Unrelated Relations	Unrelated Relations	0	1936	\N	19	"Comedy,Short"
tt0190113	movie	The Uphill Path	The Uphill Path	0	1918	\N	\N	Drama
tt0190114	movie	Top Stripper	(Hon) uwasa no sutorippâ	0	1982	\N	67	"Comedy,Drama"
tt0190115	movie	Vegas Nights	Vegas Nights	0	1948	\N	60	Documentary
